t	p_1	q_i	p_i	v	x	p_j	q_j	p_2	q_1	p_0	q_0	
3e-07	0.04742675210582092	1.674029154496934e-05	1.267617335543036e-07	9.569339454174041e-15	0	0	0	0	0	0	0.001
0.01000019999999852	0.1048994717129972	0.001000464257286878	0.08067238377407193	0.001782619435135519	9.195276766347436e-06	0.08788839839689899	0.001778085378832983	0.04394424773636274	0.001778083949357458	0	0.001
0.02000010000002226	0.01670318959804717	0.0009998629978632066	-0.007490650183171965	0.0005683567428199523	2.094138192587144e-05	0.02693972326233052	0.000590008133754633	0.01346991647733375	0.0005900149531253541	0	0.001
0.03000000000007852	0.1153833644057158	0.001000222244813509	0.09115703561110422	0.001337297760951409	2.995418349872235e-05	0.06581424211617559	0.001321764117070466	0.03290708699205425	0.001321759224349404	0	0.001
0.03999990000013477	0.04021410472341813	0.0009999599027640429	0.015978980663931	0.0007724181685953069	4.0835125358622e-05	0.03680611624440644	0.0007842177504373072	0.01840308342070784	0.0007842214669984143	0	0.001
0.04999980000019103	0.09854703859309666	0.001000116536043298	0.0741195580776548	0.001176533808914104	5.025325215909135e-05	0.05797500736662187	0.001167778913501807	0.02898748799634632	0.001167776156103599	0	0.001
0.05999970000024729	0.05290589228388853	0.0009999116588204212	0.02852641193021554	0.0008636225414524921	6.070937109454499e-05	0.04127806918404531	0.0008702017064246238	0.02063904411625117	0.0008702037788514321	0	0.001
0.06999960000013009	0.08905176693224348	0.001000062253433091	0.06475856200268026	0.001104850929079354	7.034672191997909e-05	0.05442498180491384	0.001099803679083496	0.02721248533634935	0.001099802089385314	0	0.001
0.07999949999995505	0.05991338736203033	0.0009999468761508824	0.03556597366696224	0.0009198730518209814	8.063873134518042e-05	0.04409284636494704	0.0009238285038872261	0.02204642666038126	0.0009238297496757224	0	0.001
0.08999939999978002	0.08370880334405228	0.001000039233941334	0.05940672707220074	0.001060771197404221	9.040007392864943e-05	0.05219637835398316	0.001057579661296927	0.02609818684868515	0.001057578656727933	0	0.001
0.09999929999960498	0.0639971511263866	0.0009999706514094392	0.03969756992592011	0.0009543765593287214	0.0001005971896569225	0.04585764778312296	0.0009570017713854386	0.02292882441543043	0.0009570025978364765	0	0.001
0.1099991999994299	0.08048022266302723	0.001000019841077333	0.05615676379238721	0.00103379058089771	0.0001104323938926257	0.05080076701415237	0.001031596830649265	0.02540037874132395	0.001031596138969666	0	0.001
0.1199990999992549	0.06665610984782688	0.0009999837673269176	0.04231609814451076	0.0009754524064783316	0.0001205707876161676	0.04695902635285165	0.0009772826177124145	0.02347951968840789	0.000977283192978446	0	0.001
0.1299989999993111	0.07830896921223029	0.001000011063851308	0.05399220857361797	0.001017356792816778	0.0001304538531042968	0.04993584939802531	0.001015756589847243	0.02496793282625731	0.001015756088578875	0	0.001
0.1399988999995987	0.06847146617656108	0.0009999922424322094	0.04415814405365381	0.0009882240579058637	0.0001405521556976725	0.04764501363388263	0.0009897814900380131	0.02382250808295794	0.0009897819934226719	0	0.001
0.1499987999998862	0.07672579861537088	0.001000004659749607	0.05238434867351316	0.001007477165802492	0.0001504697416566282	0.04937235574470833	0.001005887389045177	0.02468617071281187	0.001005886907282979	0	0.001
0.1599987000001738	0.06992661175900139	0.0009999978859139844	0.04560187591414433	0.0009958211548761558	0.0001605375092036825	0.04812892242625821	0.0009972017092298108	0.02406444636289962	0.0009972021709408205	0	0.001
0.1699986000004614	0.07539234882278834	0.001000001625056554	0.05105592838663142	0.001001701355024893	0.0001704828342524505	0.04898434935603291	0.001000898953401107	0.02449215415981598	0.001000898674592813	0	0.001
0.1799985000007489	0.07118602802802343	0.001000000557820873	0.0468550633668201	0.001000051771037747	0.0001805247694018726	0.04837206294178031	0.001000206164629371	0.02418613409099635	0.001000206157252861	0	0.001
0.1899984000010365	0.07420132661354728	0.0009999988712706869	0.04986921150702983	0.0009989115147418194	0.0001904945089280844	0.04887313542712945	0.0009986409064417206	0.02443677147675771	0.0009986407743994828	0	0.001
0.199998300001324	0.07227558095473796	0.001000000573356475	0.04794455406954512	0.001001451901320425	0.0002005136676474509	0.0485179867973784	0.00100274270246357	0.02425929201126564	0.001002743175966479	0	0.001
0.2099982000016116	0.07327812704897951	0.0009999989725886366	0.04894844218506478	0.0009985315504398892	0.0002105035224508871	0.04855865526769776	0.0009974947308297151	0.02427767100743949	0.0009974943198759916	0	0.001
0.2199981000018991	0.07298938762687612	0.001000000592148287	0.04865663754753768	0.001001312932859777	0.0002205063423204624	0.04878754328819923	0.001001448799869845	0.02439404130564071	0.001001448756114945	0	0.001
0.2299980000021867	0.07279464618477505	0.0009999993657820738	0.04846132578677498	0.0009992488497235369	0.0002305081966621141	0.04857972374884412	0.0009990754107063937	0.02428869834693614	0.0009990752055059932	0	0.001
0.2399979000024742	0.07323561092198361	0.001000000256310615	0.04890205340052489	0.001000248863952835	0.000240503686607624	0.04876675970444921	0.001000420415146435	0.02438292728038505	0.001000421003080134	0	0.001
0.2499978000027618	0.07281631373916753	0.001000000182707021	0.04848462525114883	0.001000114768271269	0.0002505077635560919	0.04855770884023514	0.001000395331497902	0.02427912472921889	0.0010003954915024	0	0.001
0.2599977000030493	0.07302202473510988	0.0009999997452542942	0.04869062520447187	0.0009996509988226929	0.0002605056022373413	0.04863528974237852	0.0009995209207120715	0.02431480337691028	0.0009995205319132657	0	0.001
0.2699976000033369	0.0730800237506628	0.001000000064535295	0.04874721796659287	0.001000215228786567	0.0002705049359456403	0.04869318836426828	0.001000297829740825	0.02434489755250979	0.0010002977704536	0	0.001
